"","prot","annot","sulf_id","blast","id"
"42","F6HG2_33395","GH10",33.9,"dbCAN_id",38.4
"43","F6HG2_33396","GH10",36.9,"nr_id",44.8
"44","F6HG2_33396","GH10",36.9,"self_id",100
"45","F6HG2_33396","GH10",36.9,"dbCAN_id",39.9
"46","F6HG2_46595","GH10",27,"nr_id",45.9
"47","F6HG2_46595","GH10",27,"self_id",100
"48","F6HG2_46595","GH10",27,"dbCAN_id",46.9
"49","F6HG2_58980","GH10",33.1,"nr_id",44.3
"50","F6HG2_58980","GH10",33.1,"self_id",99.7
"51","F6HG2_58980","GH10",33.1,"dbCAN_id",35.5
"52","F6HG2_77682","GH10",36.8,"nr_id",50.3
"53","F6HG2_77682","GH10",36.8,"self_id",99.4
"54","F6HG2_77682","GH10",36.8,"dbCAN_id",42.5
"55","F6HG3_10593","GH10",NA,"nr_id",46.4
"56","F6HG3_10593","GH10",NA,"self_id",NA
"57","F6HG3_10593","GH10",NA,"dbCAN_id",NA
"58","F6HG3_12775","GH10",40.4,"nr_id",64
"59","F6HG3_12775","GH10",40.4,"self_id",100
"60","F6HG3_12775","GH10",40.4,"dbCAN_id",62.5
"61","F6HG3_14258","GH10",42.2,"nr_id",45.4
"62","F6HG3_14258","GH10",42.2,"self_id",100
"63","F6HG3_14258","GH10",42.2,"dbCAN_id",45.7
"64","F6HG3_14265","GH10",NA,"nr_id",33.4
"65","F6HG3_14265","GH10",NA,"self_id",99.6
"66","F6HG3_14265","GH10",NA,"dbCAN_id",37.7
"67","F6HG3_19536","GH10",NA,"nr_id",32.5
"68","F6HG3_19536","GH10",NA,"self_id",35
"69","F6HG3_19536","GH10",NA,"dbCAN_id",31.2
"70","F6HG3_19542","GH10",NA,"nr_id",39
"71","F6HG3_19542","GH10",NA,"self_id",42.1
"72","F6HG3_19542","GH10",NA,"dbCAN_id",36.1
"73","F6HG3_19543","GH10",39.3,"nr_id",43
"74","F6HG3_19543","GH10",39.3,"self_id",53.5
"75","F6HG3_19543","GH10",39.3,"dbCAN_id",38.1
"76","F6HG3_21109","GH10",27,"nr_id",41.6
"77","F6HG3_21109","GH10",27,"self_id",100
"78","F6HG3_21109","GH10",27,"dbCAN_id",43.1
"79","F6HG3_23734","GH10",34.3,"nr_id",45.4
"80","F6HG3_23734","GH10",34.3,"self_id",71.7
"81","F6HG3_23734","GH10",34.3,"dbCAN_id",35.8
"82","F6HG3_28338","GH10",34.7,"nr_id",48.8
"83","F6HG3_28338","GH10",34.7,"self_id",99.7
"84","F6HG3_28338","GH10",34.7,"dbCAN_id",48
"85","F6HG3_29020","GH10",NA,"nr_id",28.1
"86","F6HG3_29020","GH10",NA,"self_id",32.6
"87","F6HG3_29020","GH10",NA,"dbCAN_id",27.2
"88","F6HG3_31245","GH10",40.5,"nr_id",48.1
"89","F6HG3_31245","GH10",40.5,"self_id",87.2
"90","F6HG3_31245","GH10",40.5,"dbCAN_id",46.9
"91","F6HG3_31246","GH10",39,"nr_id",48.1
"92","F6HG3_31246","GH10",39,"self_id",89
"93","F6HG3_31246","GH10",39,"dbCAN_id",47.7
"94","F6HG3_33232","GH10",NA,"nr_id",46.7
"95","F6HG3_33232","GH10",NA,"self_id",40.2
"96","F6HG3_33232","GH10",NA,"dbCAN_id",39.2
"97","F6HG3_34376","GH10",27.5,"nr_id",28.8
"98","F6HG3_34376","GH10",27.5,"self_id",59.1
"99","F6HG3_34376","GH10",27.5,"dbCAN_id",32.5
"100","F6HG3_34377","GH10",NA,"nr_id",32.1
"101","F6HG3_34377","GH10",NA,"self_id",59.1
"102","F6HG3_34377","GH10",NA,"dbCAN_id",33.7
"103","F6HG3_34378","GH10",31.8,"nr_id",38.5
"104","F6HG3_34378","GH10",31.8,"self_id",86.7
"105","F6HG3_34378","GH10",31.8,"dbCAN_id",29.4
"106","F6HG3_39247","GH10",NA,"nr_id",40.3
"107","F6HG3_39247","GH10",NA,"self_id",100
"108","F6HG3_39247","GH10",NA,"dbCAN_id",39.2
"109","F6HG3_40387","GH10",NA,"nr_id",36.9
"110","F6HG3_40387","GH10",NA,"self_id",54.5
"111","F6HG3_40387","GH10",NA,"dbCAN_id",37.6
"112","F6HG3_50185","GH10",32.8,"nr_id",45.1
"113","F6HG3_50185","GH10",32.8,"self_id",99.5
"114","F6HG3_50185","GH10",32.8,"dbCAN_id",37.6
"115","F6HG3_50186","GH10",34.3,"nr_id",46.7
"116","F6HG3_50186","GH10",34.3,"self_id",99.7
"117","F6HG3_50186","GH10",34.3,"dbCAN_id",36.8
"118","F6HG3_50187","GH10",34.3,"nr_id",43.8
"119","F6HG3_50187","GH10",34.3,"self_id",100
"120","F6HG3_50187","GH10",34.3,"dbCAN_id",37
"121","F6HG3_53339","GH10",36.1,"nr_id",49.1
"122","F6HG3_53339","GH10",36.1,"self_id",99.4
"123","F6HG3_53339","GH10",36.1,"dbCAN_id",40.5
"124","F6HG3_53340","GH10",41.5,"nr_id",48.2
"125","F6HG3_53340","GH10",41.5,"self_id",54.7
"126","F6HG3_53340","GH10",41.5,"dbCAN_id",47.5
"127","F6HG3_62190","GH10",29.4,"nr_id",40.9
"128","F6HG3_62190","GH10",29.4,"self_id",72.2
"129","F6HG3_62190","GH10",29.4,"dbCAN_id",33.7
"130","F6HG3_63336","GH10",31.8,"nr_id",42
"131","F6HG3_63336","GH10",31.8,"self_id",99.7
"132","F6HG3_63336","GH10",31.8,"dbCAN_id",36.2
"133","F6HG3_68679","GH10",NA,"nr_id",31.1
"134","F6HG3_68679","GH10",NA,"self_id",34.8
"135","F6HG3_68679","GH10",NA,"dbCAN_id",30.8
"136","F6HG3_70454","GH10",NA,"nr_id",32.8
"137","F6HG3_70454","GH10",NA,"self_id",39.7
"138","F6HG3_70454","GH10",NA,"dbCAN_id",32.3
"139","F6HG3_70455","GH10",NA,"nr_id",37.8
"140","F6HG3_70455","GH10",NA,"self_id",39.7
"141","F6HG3_70455","GH10",NA,"dbCAN_id",31.3
"142","F6HG3_72634","GH10",34.6,"nr_id",44.8
"143","F6HG3_72634","GH10",34.6,"self_id",81.2
"144","F6HG3_72634","GH10",34.6,"dbCAN_id",37.3
"145","F6HG3_72801","GH10",33.9,"nr_id",44.1
"146","F6HG3_72801","GH10",33.9,"self_id",100
"147","F6HG3_72801","GH10",33.9,"dbCAN_id",38.4
"148","F6HG3_72802","GH10",36.9,"nr_id",45.2
"149","F6HG3_72802","GH10",36.9,"self_id",100
"150","F6HG3_72802","GH10",36.9,"dbCAN_id",39.9
"151","F7HG2_11363","GH10",NA,"nr_id",31.9
"152","F7HG2_11363","GH10",NA,"self_id",NA
"153","F7HG2_11363","GH10",NA,"dbCAN_id",NA
"154","F7HG2_15395","GH10",34.7,"nr_id",41.8
"155","F7HG2_15395","GH10",34.7,"self_id",100
"156","F7HG2_15395","GH10",34.7,"dbCAN_id",40.1
"157","F7HG2_34921","GH10",29.6,"nr_id",34.4
"158","F7HG2_34921","GH10",29.6,"self_id",100
"159","F7HG2_34921","GH10",29.6,"dbCAN_id",32.6
"160","F7HG2_34922","GH10",29.9,"nr_id",39.4
"161","F7HG2_34922","GH10",29.9,"self_id",100
"162","F7HG2_34922","GH10",29.9,"dbCAN_id",37.8
"163","F7HG2_40638","GH10",36.4,"nr_id",50.6
"164","F7HG2_40638","GH10",36.4,"self_id",89
"165","F7HG2_40638","GH10",36.4,"dbCAN_id",50.6
"166","F7HG2_50518","GH10",NA,"nr_id",40.4
"167","F7HG2_50518","GH10",NA,"self_id",63.1
"168","F7HG2_50518","GH10",NA,"dbCAN_id",35.7
"169","F7HG2_50519","GH10",NA,"nr_id",41
"170","F7HG2_50519","GH10",NA,"self_id",71
"171","F7HG2_50519","GH10",NA,"dbCAN_id",36.7
"172","F7HG2_65096","GH10",37.7,"nr_id",49
"173","F7HG2_65096","GH10",37.7,"self_id",87.4
"174","F7HG2_65096","GH10",37.7,"dbCAN_id",46.1
"175","F7HG2_71104","GH10",NA,"nr_id",48.6
"176","F7HG2_71104","GH10",NA,"self_id",62.4
"177","F7HG2_71104","GH10",NA,"dbCAN_id",45.7
"178","F7HG2_71105","GH10",NA,"nr_id",39.9
"179","F7HG2_71105","GH10",NA,"self_id",56.6
"180","F7HG2_71105","GH10",NA,"dbCAN_id",39.3
"181","F7HG2_71106","GH10",NA,"nr_id",32.5
"182","F7HG2_71106","GH10",NA,"self_id",57.1
"183","F7HG2_71106","GH10",NA,"dbCAN_id",36.8
"184","F7HG2_73740","GH10",37.9,"nr_id",47.4
"185","F7HG2_73740","GH10",37.9,"self_id",81.2
"186","F7HG2_73740","GH10",37.9,"dbCAN_id",38.2
"187","F7HG2_83778","GH10",33.3,"nr_id",41.8
"188","F7HG2_83778","GH10",33.3,"self_id",100
"189","F7HG2_83778","GH10",33.3,"dbCAN_id",40.5
"190","F7HG2_94089","GH10",NA,"nr_id",36.4
"191","F7HG2_94089","GH10",NA,"self_id",40.1
"192","F7HG2_94089","GH10",NA,"dbCAN_id",35.7
"193","F7HG3_21084","GH10",34.5,"nr_id",41.8
"194","F7HG3_21084","GH10",34.5,"self_id",100
"195","F7HG3_21084","GH10",34.5,"dbCAN_id",40.1
"196","F7HG3_31984","GH10",33.3,"nr_id",41.8
"197","F7HG3_31984","GH10",33.3,"self_id",100
"198","F7HG3_31984","GH10",33.3,"dbCAN_id",40.5
"199","F7HG3_42179","GH10",29.9,"nr_id",39.4
"200","F7HG3_42179","GH10",29.9,"self_id",100
"201","F7HG3_42179","GH10",29.9,"dbCAN_id",37.8
"202","F7HG3_42180","GH10",29.6,"nr_id",34.4
"203","F7HG3_42180","GH10",29.6,"self_id",100
"204","F7HG3_42180","GH10",29.6,"dbCAN_id",32.6
"205","F8HG2_13131","GH10",30.8,"nr_id",56.5
"206","F8HG2_13131","GH10",30.8,"self_id",37
"207","F8HG2_13131","GH10",30.8,"dbCAN_id",46.1
"208","R1_12_00324","GH10",NA,"nr_id",46.9
"209","R1_12_00324","GH10",NA,"self_id",56.7
"210","R1_12_00324","GH10",NA,"dbCAN_id",43.3
"211","R1_12_02247","GH10",34.1,"nr_id",35.3
"212","R1_12_02247","GH10",34.1,"self_id",62.9
"213","R1_12_02247","GH10",34.1,"dbCAN_id",33.9
"214","R1_12_05803","GH10",NA,"nr_id",45.7
"215","R1_12_05803","GH10",NA,"self_id",34.5
"216","R1_12_05803","GH10",NA,"dbCAN_id",46.7
"217","R1_12_08828","GH10",34.5,"nr_id",44.8
"218","R1_12_08828","GH10",34.5,"self_id",100
"219","R1_12_08828","GH10",34.5,"dbCAN_id",37.9
"220","R1_12_18046","GH10",NA,"nr_id",37.9
"221","R1_12_18046","GH10",NA,"self_id",99.7
"222","R1_12_18046","GH10",NA,"dbCAN_id",35.6
"223","R1_28_26064","GH10",34.7,"nr_id",41.8
"224","R1_28_26064","GH10",34.7,"self_id",100
"225","R1_28_26064","GH10",34.7,"dbCAN_id",40.1
"226","R1_28_55184","GH10",NA,"nr_id",35.3
"227","R1_28_55184","GH10",NA,"self_id",66.7
"228","R1_28_55184","GH10",NA,"dbCAN_id",34
"229","R1_29_02311","GH10",33.3,"nr_id",97.5
"230","R1_29_02311","GH10",33.3,"self_id",33.1
"231","R1_29_02311","GH10",33.3,"dbCAN_id",60.8
"232","R1_6_14773","GH10",34.5,"nr_id",44.8
"233","R1_6_14773","GH10",34.5,"self_id",100
"234","R1_6_14773","GH10",34.5,"dbCAN_id",37.9
"235","R1_6_14779","GH10",NA,"nr_id",31
"236","R1_6_14779","GH10",NA,"self_id",99.7
"237","R1_6_14779","GH10",NA,"dbCAN_id",30.1
"238","R1_6_15581","GH10",NA,"nr_id",39.8
"239","R1_6_15581","GH10",NA,"self_id",63.1
"240","R1_6_15581","GH10",NA,"dbCAN_id",34.8
"241","R1_6_15582","GH10",NA,"nr_id",43.5
"242","R1_6_15582","GH10",NA,"self_id",71
"243","R1_6_15582","GH10",NA,"dbCAN_id",36.1
"244","R1_6_22256","GH10",NA,"nr_id",36
"245","R1_6_22256","GH10",NA,"self_id",66.7
"246","R1_6_22256","GH10",NA,"dbCAN_id",34.4
"247","R1_6_38545","GH10",39.2,"nr_id",44.2
"248","R1_6_38545","GH10",39.2,"self_id",68.5
"249","R1_6_38545","GH10",39.2,"dbCAN_id",45.3
"250","R1_6_40905","GH10",NA,"nr_id",45.5
"251","R1_6_40905","GH10",NA,"self_id",57.4
"252","R1_6_40905","GH10",NA,"dbCAN_id",43.8
"253","R2_26_08422","GH10",38.9,"nr_id",55.9
"254","R2_26_08422","GH10",38.9,"self_id",53.5
"255","R2_26_08422","GH10",38.9,"dbCAN_id",56.1
"256","R2_26_11478","GH10",35.7,"nr_id",95.6
"257","R2_26_11478","GH10",35.7,"self_id",35.3
"258","R2_26_11478","GH10",35.7,"dbCAN_id",95.6
"259","F5HG2_05034","GH117",38.9,"nr_id",76.9
"260","F5HG2_05034","GH117",38.9,"self_id",100
"261","F5HG2_05034","GH117",38.9,"dbCAN_id",76.9
"262","F5HG2_05173","GH117",35.1,"nr_id",62.3
"263","F5HG2_05173","GH117",35.1,"self_id",100
"264","F5HG2_05173","GH117",35.1,"dbCAN_id",61
"265","F5HG2_05176","GH117",40.1,"nr_id",77.3
"266","F5HG2_05176","GH117",40.1,"self_id",100
"267","F5HG2_05176","GH117",40.1,"dbCAN_id",78.4
"268","F5HG2_06033","GH117",34.1,"nr_id",64.5
"269","F5HG2_06033","GH117",34.1,"self_id",100
"270","F5HG2_06033","GH117",34.1,"dbCAN_id",64.5
"271","F5HG2_06035","GH117",35.1,"nr_id",74.4
"272","F5HG2_06035","GH117",35.1,"self_id",100
"273","F5HG2_06035","GH117",35.1,"dbCAN_id",71.1
"274","F5HG3_05841","GH117",34.1,"nr_id",64.5
"275","F5HG3_05841","GH117",34.1,"self_id",100
"276","F5HG3_05841","GH117",34.1,"dbCAN_id",64.5
"277","F5HG3_05843","GH117",35.1,"nr_id",74.4
"278","F5HG3_05843","GH117",35.1,"self_id",100
"279","F5HG3_05843","GH117",35.1,"dbCAN_id",71.1
"280","F5HG3_06235","GH117",38.9,"nr_id",76.9
"281","F5HG3_06235","GH117",38.9,"self_id",100
"282","F5HG3_06235","GH117",38.9,"dbCAN_id",76.9
"283","F5HG3_06842","GH117",40.1,"nr_id",77.3
"284","F5HG3_06842","GH117",40.1,"self_id",100
"285","F5HG3_06842","GH117",40.1,"dbCAN_id",78.4
"286","F5HG3_06845","GH117",35.1,"nr_id",62.3
"287","F5HG3_06845","GH117",35.1,"self_id",100
"288","F5HG3_06845","GH117",35.1,"dbCAN_id",61
"289","F5HG3_09158","GH117",36.8,"nr_id",79.5
"290","F5HG3_09158","GH117",36.8,"self_id",87.9
"291","F5HG3_09158","GH117",36.8,"dbCAN_id",61.2
"292","F5HG3_11725","GH117",35.3,"nr_id",77.7
"293","F5HG3_11725","GH117",35.3,"self_id",72.3
"294","F5HG3_11725","GH117",35.3,"dbCAN_id",76.2
"295","F5HG3_16935","GH117",33.9,"nr_id",76.2
"296","F5HG3_16935","GH117",33.9,"self_id",81.3
"297","F5HG3_16935","GH117",33.9,"dbCAN_id",60.4
"298","F5HG3_22820","GH117",37.7,"nr_id",76.1
"299","F5HG3_22820","GH117",37.7,"self_id",87.9
"300","F5HG3_22820","GH117",37.7,"dbCAN_id",62
"301","F5HG3_22824","GH117",30.3,"nr_id",71.5
"302","F5HG3_22824","GH117",30.3,"self_id",67
"303","F5HG3_22824","GH117",30.3,"dbCAN_id",52
"304","F5HG3_25181","GH117",38.9,"nr_id",76.5
"305","F5HG3_25181","GH117",38.9,"self_id",84.7
"306","F5HG3_25181","GH117",38.9,"dbCAN_id",73.7
"307","F5HG3_42313","GH117",38.9,"nr_id",75.9
"308","F5HG3_42313","GH117",38.9,"self_id",86.1
"309","F5HG3_42313","GH117",38.9,"dbCAN_id",76.5
"310","F6GI4_07719","GH117",NA,"nr_id",79.1
"311","F6GI4_07719","GH117",NA,"self_id",64.5
"312","F6GI4_07719","GH117",NA,"dbCAN_id",79.1
"313","F6GI4_08420","GH117",32.8,"nr_id",86.2
"314","F6GI4_08420","GH117",32.8,"self_id",69.1
"315","F6GI4_08420","GH117",32.8,"dbCAN_id",86.8
"316","F6GI4_14248","GH117",32.7,"nr_id",79.2
"317","F6GI4_14248","GH117",32.7,"self_id",99.7
"318","F6GI4_14248","GH117",32.7,"dbCAN_id",75.4
"319","F6GI4_19089","GH117",38.7,"nr_id",76.2
"320","F6GI4_19089","GH117",38.7,"self_id",95.8
"321","F6GI4_19089","GH117",38.7,"dbCAN_id",75.9
"322","F6GI4_20397","GH117",37.6,"nr_id",73
"323","F6GI4_20397","GH117",37.6,"self_id",75.1
"324","F6GI4_20397","GH117",37.6,"dbCAN_id",70.6
"325","F6GI4_33597","GH117",33.3,"nr_id",57.5
"326","F6GI4_33597","GH117",33.3,"self_id",70.2
"327","F6GI4_33597","GH117",33.3,"dbCAN_id",55.4
"328","F6GI4_52558","GH117",35.7,"nr_id",66.5
"329","F6GI4_52558","GH117",35.7,"self_id",83
"330","F6GI4_52558","GH117",35.7,"dbCAN_id",66.5
"331","F6HG2_04979","GH117",34.1,"nr_id",81.8
"332","F6HG2_04979","GH117",34.1,"self_id",69.8
"333","F6HG2_04979","GH117",34.1,"dbCAN_id",84.2
"334","F6HG2_05626","GH117",40.3,"nr_id",76.2
"335","F6HG2_05626","GH117",40.3,"self_id",72.1
"336","F6HG2_05626","GH117",40.3,"dbCAN_id",74.9
"337","F6HG2_06258","GH117",33.1,"nr_id",75.6
"338","F6HG2_06258","GH117",33.1,"self_id",76.9
"339","F6HG2_06258","GH117",33.1,"dbCAN_id",62.3
"340","F6HG2_20316","GH117",40.1,"nr_id",74.1
"341","F6HG2_20316","GH117",40.1,"self_id",100
"342","F6HG2_20316","GH117",40.1,"dbCAN_id",58.9
"343","F6HG2_27863","GH117",33.9,"nr_id",69
"344","F6HG2_27863","GH117",33.9,"self_id",90.2
"345","F6HG2_27863","GH117",33.9,"dbCAN_id",66.9
"346","F6HG3_05749","GH117",40.1,"nr_id",74.1
"347","F6HG3_05749","GH117",40.1,"self_id",100
"348","F6HG3_05749","GH117",40.1,"dbCAN_id",58.9
"349","F6HG3_07220","GH117",38.8,"nr_id",72.3
"350","F6HG3_07220","GH117",38.8,"self_id",57.6
"351","F6HG3_07220","GH117",38.8,"dbCAN_id",58
"352","F6HG3_45694","GH117",NA,"nr_id",83.7
"353","F6HG3_45694","GH117",NA,"self_id",99.4
"354","F6HG3_45694","GH117",NA,"dbCAN_id",83.7
"355","F6HG3_47488","GH117",32.4,"nr_id",76.9
"356","F6HG3_47488","GH117",32.4,"self_id",99.7
"357","F6HG3_47488","GH117",32.4,"dbCAN_id",75.4
"358","F7GI3_15932","GH117",32.8,"nr_id",80.3
"359","F7GI3_15932","GH117",32.8,"self_id",81.3
"360","F7GI3_15932","GH117",32.8,"dbCAN_id",61.4
"361","F7HG2_01492","GH117",31.5,"nr_id",63.5
"362","F7HG2_01492","GH117",31.5,"self_id",100
"363","F7HG2_01492","GH117",31.5,"dbCAN_id",63.6
"364","F7HG2_04157","GH117",36.7,"nr_id",77.2
"365","F7HG2_04157","GH117",36.7,"self_id",100
"366","F7HG2_04157","GH117",36.7,"dbCAN_id",61.3
"367","F7HG2_06962","GH117",36.6,"nr_id",76.5
"368","F7HG2_06962","GH117",36.6,"self_id",100
"369","F7HG2_06962","GH117",36.6,"dbCAN_id",62.6
"370","F7HG2_07382","GH117",36.9,"nr_id",73
"371","F7HG2_07382","GH117",36.9,"self_id",100
"372","F7HG2_07382","GH117",36.9,"dbCAN_id",73
"373","F7HG2_07449","GH117",63.6,"nr_id",65.7
"374","F7HG2_07449","GH117",63.6,"self_id",100
"375","F7HG2_07449","GH117",63.6,"dbCAN_id",60.2
"376","F7HG2_08250","GH117",42.9,"nr_id",67.8
"377","F7HG2_08250","GH117",42.9,"self_id",92.6
"378","F7HG2_08250","GH117",42.9,"dbCAN_id",67.2
"379","F7HG2_08418","GH117",38.9,"nr_id",77.2
"380","F7HG2_08418","GH117",38.9,"self_id",100
"381","F7HG2_08418","GH117",38.9,"dbCAN_id",72
"382","F7HG2_10451","GH117",NA,"nr_id",62.4
"383","F7HG2_10451","GH117",NA,"self_id",100
"384","F7HG2_10451","GH117",NA,"dbCAN_id",60.2
"385","F7HG2_13122","GH117",36.7,"nr_id",77.5
"386","F7HG2_13122","GH117",36.7,"self_id",81.9
"387","F7HG2_13122","GH117",36.7,"dbCAN_id",60.5
"388","F7HG2_13406","GH117",33.9,"nr_id",73.6
"389","F7HG2_13406","GH117",33.9,"self_id",94
"390","F7HG2_13406","GH117",33.9,"dbCAN_id",67.8
"391","F7HG2_13636","GH117",34.3,"nr_id",68.7
"392","F7HG2_13636","GH117",34.3,"self_id",100
"393","F7HG2_13636","GH117",34.3,"dbCAN_id",68.1
"394","F7HG2_14233","GH117",43,"nr_id",67.7
"395","F7HG2_14233","GH117",43,"self_id",100
"396","F7HG2_14233","GH117",43,"dbCAN_id",67
"397","F7HG2_14389","GH117",62.4,"nr_id",63.1
"398","F7HG2_14389","GH117",62.4,"self_id",92
"399","F7HG2_14389","GH117",62.4,"dbCAN_id",59.7
"400","F7HG2_14392","GH117",37.5,"nr_id",57.1
"401","F7HG2_14392","GH117",37.5,"self_id",89.1
"402","F7HG2_14392","GH117",37.5,"dbCAN_id",60.5
"403","F7HG2_16418","GH117",40.3,"nr_id",63.2
"404","F7HG2_16418","GH117",40.3,"self_id",100
"405","F7HG2_16418","GH117",40.3,"dbCAN_id",61.6
"406","F7HG2_18069","GH117",34.7,"nr_id",58.8
"407","F7HG2_18069","GH117",34.7,"self_id",100
"408","F7HG2_18069","GH117",34.7,"dbCAN_id",59.9
"409","F7HG2_18549","GH117",36.3,"nr_id",79
"410","F7HG2_18549","GH117",36.3,"self_id",100
"411","F7HG2_18549","GH117",36.3,"dbCAN_id",76.5
"412","F7HG2_20222","GH117",38.2,"nr_id",78.5
"413","F7HG2_20222","GH117",38.2,"self_id",91.3
"414","F7HG2_20222","GH117",38.2,"dbCAN_id",77.7
"415","F7HG2_21232","GH117",60.3,"nr_id",67.8
"416","F7HG2_21232","GH117",60.3,"self_id",100
"417","F7HG2_21232","GH117",60.3,"dbCAN_id",59.6
"418","F7HG2_21235","GH117",34.8,"nr_id",58.6
"419","F7HG2_21235","GH117",34.8,"self_id",100
"420","F7HG2_21235","GH117",34.8,"dbCAN_id",59
"421","F7HG2_22231","GH117",33.7,"nr_id",71.5
"422","F7HG2_22231","GH117",33.7,"self_id",100
"423","F7HG2_22231","GH117",33.7,"dbCAN_id",68.1
"424","F7HG2_24149","GH117",36.4,"nr_id",73.9
"425","F7HG2_24149","GH117",36.4,"self_id",100
"426","F7HG2_24149","GH117",36.4,"dbCAN_id",71.1
"427","F7HG2_29445","GH117",31.7,"nr_id",60.1
"428","F7HG2_29445","GH117",31.7,"self_id",100
"429","F7HG2_29445","GH117",31.7,"dbCAN_id",57.6
"430","F7HG2_36415","GH117",38.3,"nr_id",81.9
"431","F7HG2_36415","GH117",38.3,"self_id",100
"432","F7HG2_36415","GH117",38.3,"dbCAN_id",80.4
"433","F7HG2_46090","GH117",NA,"nr_id",59.8
"434","F7HG2_46090","GH117",NA,"self_id",90.8
"435","F7HG2_46090","GH117",NA,"dbCAN_id",58.4
"436","F7HG2_48161","GH117",38.2,"nr_id",78.4
"437","F7HG2_48161","GH117",38.2,"self_id",100
"438","F7HG2_48161","GH117",38.2,"dbCAN_id",58.7
"439","F7HG2_54157","GH117",59.5,"nr_id",59.3
"440","F7HG2_54157","GH117",59.5,"self_id",100
"441","F7HG2_54157","GH117",59.5,"dbCAN_id",59.3
"442","F7HG2_76127","GH117",35,"nr_id",67.5
"443","F7HG2_76127","GH117",35,"self_id",100
"444","F7HG2_76127","GH117",35,"dbCAN_id",68.7
"445","F7HG2_77882","GH117",36.8,"nr_id",56.2
"446","F7HG2_77882","GH117",36.8,"self_id",100
"447","F7HG2_77882","GH117",36.8,"dbCAN_id",56.3
"448","F7HG3_00956","GH117",31.5,"nr_id",63.5
"449","F7HG3_00956","GH117",31.5,"self_id",100
"450","F7HG3_00956","GH117",31.5,"dbCAN_id",63.6
"451","F7HG3_04149","GH117",32.8,"nr_id",74.8
"452","F7HG3_04149","GH117",32.8,"self_id",100
"453","F7HG3_04149","GH117",32.8,"dbCAN_id",62
"454","F7HG3_04874","GH117",38.9,"nr_id",77.2
"455","F7HG3_04874","GH117",38.9,"self_id",100
"456","F7HG3_04874","GH117",38.9,"dbCAN_id",72
"457","F7HG3_05057","GH117",36.9,"nr_id",73
"458","F7HG3_05057","GH117",36.9,"self_id",100
"459","F7HG3_05057","GH117",36.9,"dbCAN_id",73
"460","F7HG3_05952","GH117",NA,"nr_id",62.4
"461","F7HG3_05952","GH117",NA,"self_id",100
"462","F7HG3_05952","GH117",NA,"dbCAN_id",60.2
"463","F7HG3_08800","GH117",60.3,"nr_id",67.8
"464","F7HG3_08800","GH117",60.3,"self_id",100
"465","F7HG3_08800","GH117",60.3,"dbCAN_id",59.6
"466","F7HG3_08803","GH117",34.8,"nr_id",58.6
"467","F7HG3_08803","GH117",34.8,"self_id",100
"468","F7HG3_08803","GH117",34.8,"dbCAN_id",59
