bin	taxa	size	cgcs	cgcgenes
F7HG_2_bin.18	Bacteroidota	1516199	1	6
R1_28_bin.4	Bacteroidota	1680184	4	42
F7HG_3_bin.6	Bacteroidota	1870770	3	35
F7HG_2_bin.12	Bacteroidota	2006290	6	66
R1_28_bin.18	Bacteroidota	1742721	0	0
F7HG_2_bin.1	Bacteroidota	1786266	4	41
F7HG_3_bin.1	Bacteroidota	2085028	14	141
F7HG_2_bin.6	Bacteroidota	1899485	10	88
R1_28_bin.3	Bacteroidota	2523483	15	148
R1_6_bin.1	Bacteroidota	2399426	14	114
R1_28_bin.14	Bacteroidota	2137970	2	14
R1_28_bin.16	Bacteroidota	1543835	1	5
R1_6_bin.3	Bacteroidota	1978808	2	14
F6GI_4_bin.1	Bacteroidota	1901156	9	71
F7HG_2_bin.13	Bacteroidota	1356820	0	0
R1_28_bin.5	Bacteroidota	1695692	6	60
F6GI_4_bin.4	Bacteroidota	1595644	3	25
F8HG_3_bin.1	Bacteroidota	1708986	2	19
F8HG_2_bin.1	Bacteroidota	1639674	5	69
F8HG_3_bin.3	Bacteroidota	1479751	1	10
F8HG_2_bin.4	Bacteroidota	1784658	6	64
F7HG_2_bin.14	Bacteroidota	1683206	1	6
R1_28_bin.10	Bacteroidota	2112728	4	59
F5HG_3_bin.2	Bacteroidota	1941365	8	64
F7HG_2_bin.10	Bacteroidota	1321525	2	14
F6GI_4_bin.12	Bacteroidota	1708893	1	5
F5HG_3_bin.9	Bacteroidota	2335912	6	74
F5HG_2_bin.8	Bacteroidota	2374998	9	97
F8HG_2_bin.6	Bacteroidota	1762021	0	0
R1_28_bin.17	Bacteroidota	1646643	2	19
F6HG_3_bin.25	Bacteroidota	1837890	6	74
F6HG_2_bin.16	Bacteroidota	3051498	3	23
R1_28_bin.2	Bacteroidota	2291933	6	54
R1_25_bin.6	Bacteroidota	2073618	4	32
F7HG_2_bin.16	Bacteroidota	1757766	0	0
F6HG_3_bin.17	Bacteroidota	1759325	5	44
F6HG_3_bin.4	Bacteroidota	1668312	5	39
F6HG_2_bin.8	Bacteroidota	1544450	3	24
R1_12_bin.6	Spirochaetota	2831097	14	224
F7GI_3_bin.2	Spirochaetota	2329738	5	45
F8GI_3_bin.2	Spirochaetota	1545169	0	0
F5GI_3_bin.3	Spirochaetota	1485606	0	0
R2_26_bin.6	Fusobacteriota	2185394	6	51
R1_25_bin.3	Fusobacteriota	1574751	3	26
R1_25_bin.2	Bacillota	2378960	13	158
R1_25_bin.1	Bacillota	2270538	16	186
R1_6_bin.4	Bacillota	2149320	11	149
R1_25_bin.5	Bacillota	1682001	11	152
R1_6_bin.7	Bacillota	2194628	10	104
R1_6_bin.5	Bacillota	2609899	7	100
R1_12_bin.2	Bacillota	1653836	5	40
F6HG_3_bin.7	Bacillota	1620891	8	76
F6HG_2_bin.3	Bacillota	1361461	1	12
R2_8_bin.3	Bacillota	1957650	1	5
R2_26_bin.2	Bacillota	2633091	25	429
F6GI_4_bin.5	Bacillota	1488915	0	0
F6HG_3_bin.6	Bacillota	1532228	0	0
R1_6_bin.10	Bacillota	2859809	16	252
R1_25_bin.4	Bacillota	2465832	14	135
R2_26_bin.4	Bacillota	2916317	16	267
R1_38_bin.1	Bacillota	2632403	6	106
F6HG_3_bin.21	Bacillota	1570271	2	15
F6HG_2_bin.2	Bacillota	1327130	3	16
R2_26_bin.3	Bacillota	4650495	54	606
R2_24_bin.1	Bacillota	4921242	54	707
F6GI_4_bin.8	Bacillota	2287056	10	108
F7GI_3_bin.4	Bacillota	2477930	4	40
F5GI_3_bin.1	Bacillota	2202304	1	5
F5GI_3_bin.7	Bacillota	1654201	2	13
R1_6_bin.15	Bacillota	2288193	8	78
R1_12_bin.3	Bacillota	1761935	0	0
R1_29_bin.4	Bacillota	2997874	2	11
F7GI_3_bin.8	Bacillota	1760169	2	18
F7GI_3_bin.1	Bacillota	1535725	1	6
F5HG_3_bin.4	Bacillota	2580663	10	97
F5HG_3_bin.12	Bacillota	2203945	4	40
R2_24_bin.3	Bacillota	5130670	73	1098
F5HG_3_bin.5	Bacillota	2053637	10	141
F5HG_2_bin.4	Bacillota	1723116	3	26
F8HG_3_bin.2	Bacillota	2170188	6	41
F5HG_3_bin.1	Bacillota	2181115	2	15
F5HG_2_bin.5	Bacillota	1902113	2	19
F7HG_2_bin.7	Bacillota	1575769	2	13
F6HG_3_bin.15	Bacillota	1364500	3	23
F6HG_3_bin.20	Bacillota	774702	0	0
F8HG_2_bin.3	Bacillota	1756752	0	0
F6HG_3_bin.12	Bacillota	1792397	3	18
F6HG_3_bin.16	Bacillota	1735477	3	30
F6HG_2_bin.11	Bacillota	1886585	1	10
F6HG_3_bin.13	Bacillota	1476536	4	52
F6HG_2_bin.7	Bacillota	1455667	4	50
R1_12_bin.5	Bacillota	908530	0	0
F5GI_3_bin.6	Bacillota	538783	0	0
F7GI_3_bin.6	Bacillota	1284949	2	10
F6GI_4_bin.6	Bacillota	1181139	2	11
R1_29_bin.5	Bacillota	5378649	73	1173
F6HG_3_bin.24	Bacillota	1664036	1	15
F6HG_2_bin.10	Bacillota	1638775	1	18
R2_8_bin.4	Bacillota	3314953	6	89
R1_29_bin.1	Bacillota	2909854	5	60
R2_24_bin.2	Bacillota	3275270	6	89
R2_8_bin.1	Bacillota	3004168	36	338
R1_29_bin.2	Bacillota	3129376	43	573
R1_43_bin.3	Bacillota	2214657	3	11
R1_29_bin.7	Bacillota	2924270	32	336
F7HG_3_bin.5	Bacillota	1753742	0	0
F7HG_2_bin.5	Bacillota	2418934	2	17
F5HG_3_bin.8	Bacillota	1755536	2	10
F5HG_2_bin.6	Bacillota	1980453	0	0
F6HG_3_bin.1	Bacillota	1327647	3	25
F6GI_3_bin.3	Bacillota	1394176	11	111
F6HG_2_bin.1	Bacillota	1305729	5	35
R1_28_bin.15	Bacillota	1520588	4	41
F7HG_2_bin.3	Bacillota	1382700	3	37
F7HG_3_bin.8	Bacillota	1168251	2	21
F7HG_3_bin.3	Bacillota	1280510	2	13
F7HG_2_bin.9	Bacillota	1645023	2	9
F6GI_3_bin.1	Bacillota	1796526	0	0
F5GI_2_bin.2	Bacillota	1881065	3	16
F5HG_2_bin.9	Bacillota	1827434	4	17
F5GI_3_bin.5	Bacillota	1613212	0	0
F6GI_4_bin.9	Bacillota	2047824	2	9
F6HG_2_bin.17	WOR-3	2059671	0	0
F6HG_3_bin.11	WOR-3	2259452	1	4
GCF_000400325.1	Gammaproteobacteria	5824957	0	0
GCF_009935875.1	Bacillota	2300856	0	0
GCF_900450655.1	Gammaproteobacteria	4096279	0	0
GCA_009929735.1	Bacillota	2798169	0	0
GCF_000400225.1	Gammaproteobacteria	5804520	0	0
GCF_900112165.1	Spirochaetota	1501400	0	0
GCF_019209835.1	Gammaproteobacteria	5440368	0	0
GCA_017411305.1	Bacillota	2890213	0	0
GCA_019119845.1	Bacteroidota	2317847	0	0
GCA_016929525.1	Bacteroidota	4062668	0	0
GCA_012519815.1	Bacteroidota	2264452	0	0
GCF_900604945.1	Bacillota	2642213	0	0
GCA_019115075.1	Bacteroidota	2528998	0	0
GCA_017647525.1	Bacteroidota	1691560	0	0
GCA_019119475.1	Bacteroidota	2367722	0	0
GCF_000518245.1	Spirochaetota	3420763	0	0
GCF_000422665.1	Gammaproteobacteria	3885737	0	0
GCF_900174585.1	Gammaproteobacteria	5467208	0	0
GCA_905373755.1	Spirochaetota	1572133	0	0
GCA_015066815.1	Bacillota	2637625	0	0
GCA_017467185.1	Bacteroidota	2726709	0	0
GCF_000723465.1	Bacillota	2968500	0	0
GCF_018362775.1	Bacteroidota	3484450	0	0
GCF_014250655.1	Fusobacteriota	2984168	0	0
GCF_009696265.1	Desulfovibrionales	3311244	0	0
GCA_018374945.1	Bacteroidota	3359577	0	0
GCA_019113395.1	Bacteroidota	2074137	0	0
GCA_019115605.1	Bacteroidota	2184962	0	0
GCF_009938165.1	Gammaproteobacteria	4305214	0	0
GCA_003497105.1	Gammaproteobacteria	2323731	0	0
GCF_000178235.1	Bacillota	2811160	0	0
GCF_000455265.1	Bacillota	5584690	0	0
GCA_015067335.1	Bacillota	3599078	0	0
GCF_020911745.1	Gammaproteobacteria	4193911	0	0
GCF_002180235.1	Gammaproteobacteria	4587183	0	0
GCA_020054675.1	Bacillota	2275668	0	0
GCA_017415165.1	Bacillota	2624877	0	0
GCF_003460465.1	Bacillota	2873186	0	0
GCF_003730795.1	Gammaproteobacteria	3845783	0	0
GCF_002995655.1	Gammaproteobacteria	5877037	0	0
GCA_017462345.1	Bacteroidota	2087929	0	0
GCF_902374845.1	Bacteroidota	4017609	0	0
GCA_017467745.1	Bacteroidota	2381751	0	0
GCF_001672295.1	Desulfovibrionales	3614588	0	0
GCF_018141425.1	Bacillota	5626074	0	0
GCF_016901855.1	Bacillota	2650686	0	0
GCF_903181445.1	Bacteroidota	5191637	0	0
GCF_900167065.1	Desulfovibrionales	3266412	0	0
GCF_018141445.1	Bacillota	6325483	0	0
GCF_010367435.1	Fusobacteriota	2030655	0	0
GCF_001561955.1	Bacillota	3120417	0	0
GCF_000248015.1	Gammaproteobacteria	4495280	0	0
GCF_001558875.2	Bacillota	3821476	0	0
GCF_001413955.1	Bacteroidota	4132279	0	0
GCF_001697185.1	Bacteroidota	3427057	0	0
GCF_014651455.1	Bacteroidota	5457364	0	0
GCF_018861085.1	Bacteroidota	5488018	0	0
RUG30040	Bacteroidota	0	0	0
RUG30079	Bacteroidota	0	0	0
RUG30097	Bacteroidota	0	0	0
RUG30170	Bacteroidota	0	0	0
RUG30246	Bacteroidota	0	0	0
