bins	Red Algae CaZy	Brown Algae CaZy	Green Algae CaZy	Sulfatases	Peptidogylcanases
F5GI_3_bin.7	0	0	0	0	3
F5HG_2_bin.2	0	0	0	0	12
F5HG_2_bin.4	0	0	0	0	5
F5HG_2_bin.5	0	0	0	0	3
F5HG_2_bin.6	0	0	0	0	2
F5HG_2_bin.7	0	0	0	0	8
F5HG_2_bin.9	0	0	0	0	2
F5HG_3_bin.1	0	0	0	0	4
F5HG_3_bin.10	0	0	0	0	12
F5HG_3_bin.12	2	0	0	0	1
F5HG_3_bin.7	0	0	0	0	10
F5HG_3_bin.8	0	0	0	0	2
F6GI_3_bin.1	0	0	0	0	1
F6GI_3_bin.2	0	0	0	0	3
F6GI_3_bin.3	0	0	0	0	2
F6GI_3_bin.4	0	0	0	0	2
F6GI_4_bin.5	0	0	0	0	2
F6GI_4_bin.6	0	5	0	0	1
F6GI_4_bin.7	0	0	0	0	3
F6GI_4_bin.8	0	0	0	0	1
F6GI_4_bin.9	0	0	0	0	3
F6HG_2_bin.1	0	0	0	0	2
F6HG_2_bin.10	0	0	0	0	0
F6HG_2_bin.11	0	0	0	0	0
F6HG_2_bin.17	1	1	0	0	1
F6HG_2_bin.2	0	0	0	0	3
F6HG_2_bin.6	0	0	0	0	8
F6HG_2_bin.7	0	0	0	0	0
F6HG_3_bin.1	0	0	0	0	1
F6HG_3_bin.11	1	1	0	0	4
F6HG_3_bin.13	0	0	0	0	0
F6HG_3_bin.14	0	0	0	0	4
F6HG_3_bin.15	0	0	0	0	0
F6HG_3_bin.16	0	0	0	0	0
F6HG_3_bin.18	0	0	0	0	3
F6HG_3_bin.19	0	0	0	0	9
F6HG_3_bin.2	0	0	0	0	3
F6HG_3_bin.20	0	0	0	0	1
F6HG_3_bin.24	0	0	0	0	1
F6HG_3_bin.5	0	0	0	0	2
F6HG_3_bin.6	0	5	0	0	1
F6HG_3_bin.8	0	0	0	0	3
F7GI_2_bin.1	0	0	0	0	9
F7GI_3_bin.1	0	0	0	0	3
F7GI_3_bin.10	0	0	0	0	5
F7GI_3_bin.2	0	7	0	0	5
F7GI_3_bin.3	0	0	0	0	8
F7GI_3_bin.5	0	0	0	0	3
F7GI_3_bin.6	0	0	0	0	0
F7GI_3_bin.7	0	1	0	0	5
F7HG_2_bin.3	0	1	0	0	1
F7HG_2_bin.4	0	0	0	0	5
F7HG_2_bin.5	0	0	0	0	2
F7HG_2_bin.8	0	0	0	0	3
F7HG_3_bin.3	0	0	0	0	1
F7HG_3_bin.5	0	0	0	0	2
F7HG_3_bin.7	0	0	0	0	5
F7HG_3_bin.8	0	1	0	0	1
F8GI_2_bin.1	0	0	0	0	5
F8HG_2_bin.2	0	0	0	0	8
F8HG_2_bin.7	0	0	0	0	5
R1_12_bin.2	0	0	0	0	2
R1_12_bin.3	0	0	0	0	0
R1_12_bin.4	0	0	0	0	2
R1_12_bin.5	0	0	0	0	0
R1_25_bin.3	0	0	0	0	0
R1_28_bin.13	0	0	0	0	7
R1_28_bin.15	0	1	0	0	1
R1_29_bin.1	0	0	0	0	1
R1_29_bin.2	0	1	0	0	11
R1_29_bin.3	0	0	0	0	7
R1_29_bin.6	0	0	0	0	0
R1_29_bin.7	0	0	0	0	9
R1_38_bin.1	0	0	0	0	5
R1_43_bin.2	0	0	0	0	13
R1_43_bin.3	0	1	0	0	5
R1_6_bin.12	0	0	0	0	15
R1_6_bin.13	0	0	0	0	4
R1_6_bin.15	0	2	0	0	8
R1_6_bin.4	0	0	0	0	5
R1_6_bin.5	0	0	0	0	7
R1_6_bin.7	0	0	0	0	5
R2_24_bin.2	0	0	0	0	1
R2_26_bin.4	1	0	0	0	8
R2_26_bin.6	0	0	0	0	4
R2_8_bin.1	0	1	0	0	8
R2_8_bin.3	0	0	0	0	1
R2_8_bin.4	0	0	0	0	1
F5GI_3_bin.5	0	0	0	0	2
F6GI_4_bin.9	0	0	0	0	3
F6HG_2_bin.17	1	1	0	0	1
F6HG_3_bin.11	1	1	0	0	4
