longBGC	MAG	query	class	product	length (kb)	completeness	best hit	distance	novel	complete+novel	short-BGC	taxonomy
F5GI_2_bin.3-c00014_NODE_14...region001	F5GI_2_bin.3	bacteria-9308b658-963d-44d6-bf78-8de28300514d	Others	betalactone	31.6	Complete	GCF_00781	533	FALSE	FALSE	c00014_NODE_14...region001	Gammaproteobacteria
F5GI_2_bin.3-c00016_NODE_16...region001	F5GI_2_bin.3	bacteria-9308b658-963d-44d6-bf78-8de28300514d	Others	ectoine	10.39	Complete	GCF_00822	654	FALSE	FALSE	c00016_NODE_16...region001	Gammaproteobacteria
F5GI_2_bin.3-c00031_NODE_54...region001	F5GI_2_bin.3	bacteria-9308b658-963d-44d6-bf78-8de28300514d	RiPPs	RiPP-like	10.87	Complete	GCF_00001	429	FALSE	FALSE	c00031_NODE_54...region001	Gammaproteobacteria
F5GI_3_bin.7-c00258_NODE_24...region001	F5GI_3_bin.7	bacteria-b8b55385-8013-472b-9447-ccccc563f583	RiPPs	ranthipeptide	2.52	Fragmented	GCF_00001	819	FALSE	FALSE	c00258_NODE_24...region001	Bacillota
F5GI_3_bin.7-c00287_NODE_28...region001	F5GI_3_bin.7	bacteria-b8b55385-8013-472b-9447-ccccc563f583	RiPPs	ranthipeptide	2.34	Fragmented	GCF_05012	432	FALSE	FALSE	c00287_NODE_28...region001	Bacillota
F5HG_2_bin.1-c00007_NODE_7_...region001	F5HG_2_bin.1	bacteria-9e3d1d14-6e01-4db8-859d-16514aa54ef1	RiPPs	RiPP-like	10.87	Complete	GCF_00692	979	TRUE	TRUE	c00007_NODE_7_...region001	Gammaproteobacteria
F5HG_2_bin.1-c00009_NODE_9_...region001	F5HG_2_bin.1	bacteria-9e3d1d14-6e01-4db8-859d-16514aa54ef1	Others	furan	20.99	Complete	GCF_00001	807	FALSE	FALSE	c00009_NODE_9_...region001	Gammaproteobacteria
F5HG_2_bin.1-c00014_NODE_14...region001	F5HG_2_bin.1	bacteria-9e3d1d14-6e01-4db8-859d-16514aa54ef1	Others	betalactone	31.6	Complete	GCF_00781	533	FALSE	FALSE	c00014_NODE_14...region001	Gammaproteobacteria
F5HG_2_bin.1-c00016_NODE_16...region001	F5HG_2_bin.1	bacteria-9e3d1d14-6e01-4db8-859d-16514aa54ef1	Others	ectoine	10.39	Complete	GCF_00822	654	FALSE	FALSE	c00016_NODE_16...region001	Gammaproteobacteria
F5HG_2_bin.1-c00017_NODE_17...region001	F5HG_2_bin.1	bacteria-9e3d1d14-6e01-4db8-859d-16514aa54ef1	NRPS	NRPS	43.95	Complete	GCF_02242	640	FALSE	FALSE	c00017_NODE_17...region001	Gammaproteobacteria
F5HG_2_bin.1-c00037_NODE_79...region001	F5HG_2_bin.1	bacteria-9e3d1d14-6e01-4db8-859d-16514aa54ef1	RiPPs	RiPP-like	10.87	Complete	GCF_00001	429	FALSE	FALSE	c00037_NODE_79...region001	Gammaproteobacteria
F5HG_2_bin.2-c00051_NODE_40...region001	F5HG_2_bin.2	bacteria-6e70b99b-11bc-41a9-b05f-ae3fd8901bec	Others	betalactone	15.2	Fragmented	GCF_00781	688	FALSE	FALSE	c00051_NODE_40...region001	Gammaproteobacteria
F5HG_2_bin.2-c00121_NODE_10...region001	F5HG_2_bin.2	bacteria-6e70b99b-11bc-41a9-b05f-ae3fd8901bec	RiPPs	RiPP-like	6.03	Fragmented	GCF_00001	437	FALSE	FALSE	c00121_NODE_10...region001	Gammaproteobacteria
F5HG_2_bin.3-c00001_NODE_83...region001	F5HG_2_bin.3	bacteria-cd060f2f-b2e1-4ac1-b880-f3117447949b 	NRPS	NRPS	28.89	Fragmented	GCF_29501	1080	TRUE	FALSE	c00001_NODE_83...region001	Bacteroidota
F5HG_2_bin.3-c00049_NODE_59...region001	F5HG_2_bin.3	bacteria-cd060f2f-b2e1-4ac1-b880-f3117447949b 	NRPS	NRPS-like	12.36	Fragmented	GCF_07410	607	FALSE	FALSE	c00049_NODE_59...region001	Bacteroidota
F5HG_2_bin.4-c00131_NODE_32...region001	F5HG_2_bin.4	bacteria-0e4c7ac3-e48a-425a-aa74-6b00fc636e66	RiPPs	cyclic-lactone-autoinducer	4.52	Fragmented	GCF_00001	566	FALSE	FALSE	c00131_NODE_32...region001	Bacillota
F5HG_2_bin.4-c00175_NODE_47...region001	F5HG_2_bin.4	bacteria-0e4c7ac3-e48a-425a-aa74-6b00fc636e66	RiPPs	ranthipeptide	3.72	Fragmented	GCF_05012	432	FALSE	FALSE	c00175_NODE_47...region001	Bacillota
F5HG_2_bin.5-c00018_NODE_57...region001	F5HG_2_bin.5	bacteria-a1167da0-a40b-4530-8d3c-d7abff54c2d4	RiPPs	ranthipeptide	12.36	Fragmented	GCF_05012	803	FALSE	FALSE	c00018_NODE_57...region001	Bacillota
F5HG_2_bin.6-c00208_NODE_77...region001	F5HG_2_bin.6	bacteria-18f73c04-0de1-453c-801c-8421ae8447ee	RiPPs	ranthipeptide	2.89	Fragmented	GCF_05012	549	FALSE	FALSE	c00208_NODE_77...region001	Bacillota
F5HG_2_bin.7-c00024_NODE_10...region001	F5HG_2_bin.7	bacteria-52fd070b-248d-494a-82ad-1772eb9675eb	Others	betalactone	29.18	Fragmented	GCF_00781	715	FALSE	FALSE	c00024_NODE_10...region001	Gammaproteobacteria
F5HG_2_bin.8-c00074_NODE_84...region001	F5HG_2_bin.8	bacteria-3a30888a-9c52-4f09-bb04-b02b7073f4d0	RiPPs	RRE-containing	9.75	Fragmented	GCF_00001	468	FALSE	FALSE	c00074_NODE_84...region001	Bacteroidota
F5HG_3_bin.1-c00078_NODE_14...region001	F5HG_3_bin.1	bacteria-c6894a6b-2f39-44fa-8c94-fbe4789d6fd0	RiPPs	RRE-containing	10	Fragmented	GCF_00001	300	FALSE	FALSE	c00078_NODE_14...region001	Bacillota
F5HG_3_bin.1-c00105_NODE_22...region001	F5HG_3_bin.1	bacteria-c6894a6b-2f39-44fa-8c94-fbe4789d6fd0	RiPPs	ranthipeptide	7.85	Fragmented	GCF_05012	591	FALSE	FALSE	c00105_NODE_22...region001	Bacillota
F5HG_3_bin.11-c00017_NODE_23...region001	F5HG_3_bin.11	bacteria-14f252ca-4071-4b2f-956e-d7c4a2cdbe5d	Terpene	terpene	19.34	Fragmented	GCF_14384	902	TRUE	FALSE	c00017_NODE_23...region001	Verrucomicrobiota
F5HG_3_bin.11-c00039_NODE_62...region001	F5HG_3_bin.11	bacteria-14f252ca-4071-4b2f-956e-d7c4a2cdbe5d	Terpene	terpene	14.32	Fragmented	GCF_14332	527	FALSE	FALSE	c00039_NODE_62...region001	Verrucomicrobiota
F5HG_3_bin.11-c00159_NODE_95...region001	F5HG_3_bin.11	bacteria-14f252ca-4071-4b2f-956e-d7c4a2cdbe5d	Terpene	terpene	3.55	Fragmented	GCF_00737	399	FALSE	FALSE	c00159_NODE_95...region001	Verrucomicrobiota
F5HG_3_bin.12-c00018_NODE_46...region001	F5HG_3_bin.12	bacteria-39d1779d-fb4a-49a7-839d-e1218ab4250c	NRPS	NRPS	18.73	Fragmented	GCF_03020	769	FALSE	FALSE	c00018_NODE_46...region001	Bacillota
F5HG_3_bin.12-c00037_NODE_81...region001	F5HG_3_bin.12	bacteria-39d1779d-fb4a-49a7-839d-e1218ab4250c	RiPPs	ranthipeptide	13.72	Fragmented	GCF_05012	708	FALSE	FALSE	c00037_NODE_81...region001	Bacillota
F5HG_3_bin.3-c00005_NODE_17...region001	F5HG_3_bin.3	bacteria-dcb4218d-8f41-4504-b2ab-93c324a3827b	NRPS	NRPS	30.77	Fragmented	GCF_10725	1514	TRUE	FALSE	c00005_NODE_17...region001	Bacteroidota
F5HG_3_bin.3-c00065_NODE_95...region001	F5HG_3_bin.3	bacteria-dcb4218d-8f41-4504-b2ab-93c324a3827b	NRPS	NRPS-like	12.69	Fragmented	GCF_07410	658	FALSE	FALSE	c00065_NODE_95...region001	Bacteroidota
F5HG_3_bin.4-c00013_NODE_12...region001	F5HG_3_bin.4	bacteria-fa2e102e-c307-4e48-ba6b-0a784479814c	RiPPs	ranthipeptide	16.37	Fragmented	GCF_05012	700	FALSE	FALSE	c00013_NODE_12...region001	Bacillota
F5HG_3_bin.4-c00031_NODE_32...region001	F5HG_3_bin.4	bacteria-fa2e102e-c307-4e48-ba6b-0a784479814c	NRPS	NRPS	22.71	Fragmented	GCF_03020	947	TRUE	FALSE	c00031_NODE_32...region001	Bacillota
F5HG_3_bin.4-c00034_NODE_34...region001	F5HG_3_bin.4	bacteria-fa2e102e-c307-4e48-ba6b-0a784479814c	NRPS	NRPS	22.19	Fragmented	GCF_03020	1391	TRUE	FALSE	c00034_NODE_34...region001	Bacillota
F5HG_3_bin.4-c00063_NODE_98...region001	F5HG_3_bin.4	bacteria-fa2e102e-c307-4e48-ba6b-0a784479814c	RiPPs	RiPP-like	7.45	Fragmented	GCF_00001	479	FALSE	FALSE	c00063_NODE_98...region001	Bacillota
F5HG_3_bin.5-c00001_NODE_16...region001	F5HG_3_bin.5	bacteria-5da36725-4ed6-4b3d-9145-db6eb3e24138	RiPPs	cyclic-lactone-autoinducer	20.62	Complete	GCF_00001	1167	TRUE	TRUE	c00001_NODE_16...region001	Bacillota
F5HG_3_bin.5-c00015_NODE_14...region001	F5HG_3_bin.5	bacteria-5da36725-4ed6-4b3d-9145-db6eb3e24138	RiPPs	ranthipeptide	15.85	Fragmented	GCF_05012	857	FALSE	FALSE	c00015_NODE_14...region001	Bacillota
F5HG_3_bin.6-c00006_NODE_90...region001	F5HG_3_bin.6	bacteria-03c7a8e9-2499-4be9-b308-24907b9f043f	Others	betalactone	19.75	Fragmented	GCF_00781	793	FALSE	FALSE	c00006_NODE_90...region001	Gammaproteobacteria
F5HG_3_bin.6-c00045_NODE_36...region001	F5HG_3_bin.6	bacteria-03c7a8e9-2499-4be9-b308-24907b9f043f	RiPPs	RiPP-like	10.87	Complete	GCF_00001	437	FALSE	FALSE	c00045_NODE_36...region001	Gammaproteobacteria
F5HG_3_bin.6-c00079_NODE_62...region001	F5HG_3_bin.6	bacteria-03c7a8e9-2499-4be9-b308-24907b9f043f	Others	arylpolyene	16.22	Fragmented	GCF_15903	941	TRUE	FALSE	c00079_NODE_62...region001	Gammaproteobacteria
F5HG_3_bin.6-c00156_NODE_18...region001	F5HG_3_bin.6	bacteria-03c7a8e9-2499-4be9-b308-24907b9f043f	Others	ectoine	6.25	Fragmented	GCF_00822	586	FALSE	FALSE	c00156_NODE_18...region001	Gammaproteobacteria
F5HG_3_bin.7-c00054_NODE_68...region001	F5HG_3_bin.7	bacteria-bd966fe7-52a3-4b66-980f-04ce2a13b473	Others	betalactone	15.23	Fragmented	GCF_07410	769	FALSE	FALSE	c00054_NODE_68...region001	Gammaproteobacteria
F5HG_3_bin.8-c00069_NODE_20...region001	F5HG_3_bin.8	bacteria-5c8050a1-7582-4330-ab83-568c8b7c22f3	RiPPs	ranthipeptide	8.09	Fragmented	GCF_05012	653	FALSE	FALSE	c00069_NODE_20...region001	Bacillota
F5HG_3_bin.9-c00003_NODE_33...region001	F5HG_3_bin.9	bacteria-6da0feec-0835-42c9-80d9-21b03bb77190	RiPPs	RRE-containing	14.04	Fragmented	GCF_00001	468	FALSE	FALSE	c00003_NODE_33...region001	Bacteroidota
F6GI_4_bin.1-c00003_NODE_19...region001	F6GI_4_bin.1	bacteria-86bee9cc-4957-4742-912c-d9f8075ce520	NRPS	NRPS-like	38.92	Fragmented	GCF_10776	1625	TRUE	FALSE	c00003_NODE_19...region001	Bacteroidota
F6GI_4_bin.10-c00025_NODE_11...region001	F6GI_4_bin.10	bacteria-f45af5e7-1cce-418a-b235-fffadba4b696	NRPS	NRPS-like	8.15	Fragmented	GCF_07410	709	FALSE	FALSE	c00025_NODE_11...region001	Bacteroidota
F6GI_4_bin.11-c00346_NODE_10...region001	F6GI_4_bin.11	bacteria-87c4eca0-306e-446b-835c-421d29d3a08c	RiPPs	RRE-containing	2.23	Fragmented	GCF_00001	392	FALSE	FALSE	c00346_NODE_10...region001	Bacteroidota
F6GI_4_bin.11-c00504_NODE_25...region001	F6GI_4_bin.11	bacteria-87c4eca0-306e-446b-835c-421d29d3a08c	Terpene	terpene	1.42	Fragmented	GCF_14332	328	FALSE	FALSE	c00504_NODE_25...region001	Bacteroidota
F6GI_4_bin.2-c00013_NODE_68...region001	F6GI_4_bin.2	bacteria-d0751792-6878-4039-82f0-d31a2bb56faf	PKSother	T3PKS	24.93	Fragmented	GCF_00001	760	FALSE	FALSE	c00013_NODE_68...region001	Verrucomicrobiota
F6GI_4_bin.3-c00025_NODE_65...region001	F6GI_4_bin.3	bacteria-8ff6ac1f-98fd-4eb3-a154-dfa912fdde14	Others	betalactone	19.82	Fragmented	GCF_00781	793	FALSE	FALSE	c00025_NODE_65...region001	Gammaproteobacteria
F6GI_4_bin.3-c00115_NODE_75...region001	F6GI_4_bin.3	bacteria-8ff6ac1f-98fd-4eb3-a154-dfa912fdde14	Others	ectoine	7.5	Fragmented	GCF_00822	449	FALSE	FALSE	c00115_NODE_75...region001	Gammaproteobacteria
F6GI_4_bin.3-c00145_NODE_27...region001	F6GI_4_bin.3	bacteria-8ff6ac1f-98fd-4eb3-a154-dfa912fdde14	RiPPs	RiPP-like	4.84	Fragmented	GCF_00001	355	FALSE	FALSE	c00145_NODE_27...region001	Gammaproteobacteria
F6GI_4_bin.4-c00056_NODE_90...region001	F6GI_4_bin.4	bacteria-6caf465a-686f-446b-b4a0-39ab6efa9a4e	RiPPs	RRE-containing	9.59	Fragmented	GCF_00001	394	FALSE	FALSE	c00056_NODE_90...region001	Bacteroidota
F6GI_4_bin.5-c00074_NODE_26...region001	F6GI_4_bin.5	bacteria-d68de2ac-6f51-4282-8cba-f404949e21a7	RiPPs	cyclic-lactone-autoinducer	4.96	Fragmented	GCF_00692	436	FALSE	FALSE	c00074_NODE_26...region001	Bacillota
F6GI_4_bin.5-c00203_NODE_75...region001	F6GI_4_bin.5	bacteria-d68de2ac-6f51-4282-8cba-f404949e21a7	RiPPs	RRE-containing	2.75	Fragmented	GCF_05012	533	FALSE	FALSE	c00203_NODE_75...region001	Bacillota
F6GI_4_bin.6-c00015_NODE_37...region001	F6GI_4_bin.6	bacteria-e9c02a46-84f1-4933-9380-c562d81e6705	RiPPs	RiPP-like	9.96	Fragmented	GCF_00001	479	FALSE	FALSE	c00015_NODE_37...region001	Bacillota
F6GI_4_bin.8-c00038_NODE_27...region001	F6GI_4_bin.8	bacteria-f0590440-6a1d-4ef5-944e-83f454e40704	RiPPs	ranthipeptide	16.94	Fragmented	GCF_05012	1242	TRUE	FALSE	c00038_NODE_27...region001	Bacillota
F6HG_2_bin.10-c00057_NODE_16...region001	F6HG_2_bin.10	bacteria-f7938edd-9800-4da8-aa93-7190ef26a94a	RiPPs	RiPP-like	9.59	Fragmented	GCF_00001	700	FALSE	FALSE	c00057_NODE_16...region001	Bacillota
F6HG_2_bin.10-c00064_NODE_22...region001	F6HG_2_bin.10	bacteria-f7938edd-9800-4da8-aa93-7190ef26a94a	RiPPs	cyclic-lactone-autoinducer	7.87	Fragmented	GCF_00001	437	FALSE	FALSE	c00064_NODE_22...region001	Bacillota
F6HG_2_bin.10-c00075_NODE_42...region001	F6HG_2_bin.10	bacteria-f7938edd-9800-4da8-aa93-7190ef26a94a	RiPPs	cyclic-lactone-autoinducer	5.08	Fragmented	GCF_00001	158	FALSE	FALSE	c00075_NODE_42...region001	Bacillota
F6HG_2_bin.11-c00166_NODE_66...region001	F6HG_2_bin.11	bacteria-033e947f-a1fa-45be-aca6-7b293cc5677d	RiPPs	ranthipeptide	3.76	Fragmented	GCF_00001	502	FALSE	FALSE	c00166_NODE_66...region001	Bacillota
F6HG_2_bin.13-c00021_NODE_37...region001	F6HG_2_bin.13	bacteria-104bca15-c89a-419d-bd63-b6afc7130a8d	Others	arylpolyene	23.42	Fragmented	GCF_04722	999	TRUE	FALSE	c00021_NODE_37...region001	Bacteroidota
F6HG_2_bin.13-c00030_NODE_51...region001	F6HG_2_bin.13	bacteria-104bca15-c89a-419d-bd63-b6afc7130a8d	NRPS	NRPS-like	19.53	Fragmented	GCF_07410	709	FALSE	FALSE	c00030_NODE_51...region001	Bacteroidota
F6HG_2_bin.13-c00081_NODE_20...region001	F6HG_2_bin.13	bacteria-104bca15-c89a-419d-bd63-b6afc7130a8d	NRPS	NRPS-like	8.52	Fragmented	GCF_07410	747	FALSE	FALSE	c00081_NODE_20...region001	Bacteroidota
F6HG_2_bin.14-c00051_NODE_23...region001	F6HG_2_bin.14	bacteria-10e621f0-bfb8-4f0b-859c-dcd723263945	RiPPs	RRE-containing	7.74	Fragmented	GCF_00001	393	FALSE	FALSE	c00051_NODE_23...region001	Bacteroidota
F6HG_2_bin.17-c00001_NODE_59...region001	F6HG_2_bin.17	bacteria-472a71dc-134e-4dd5-b4d3-f12f994ae006	RiPPs	cyclic-lactone-autoinducer	20.55	Complete	GCF_00001	158	FALSE	FALSE	c00001_NODE_59...region001	WOR-3
F6HG_2_bin.15-c00004_NODE_36...region001	F6HG_2_bin.15	bacteria-04637e2d-fc30-4552-9330-2af147782703	RiPPs	RRE-containing	14.96	Fragmented	GCF_00001	718	FALSE	FALSE	c00004_NODE_36...region001	Bacteroidota
F6HG_2_bin.15-c00046_NODE_13...region001	F6HG_2_bin.15	bacteria-04637e2d-fc30-4552-9330-2af147782703	Others	arylpolyene	11.28	Fragmented	GCF_11338	1129	TRUE	FALSE	c00046_NODE_13...region001	Bacteroidota
F6HG_2_bin.15-c00109_NODE_24...region001	F6HG_2_bin.15	bacteria-04637e2d-fc30-4552-9330-2af147782703	Others	arylpolyene	7.48	Fragmented	GCF_01379	950	TRUE	FALSE	c00109_NODE_24...region001	Bacteroidota
F6HG_2_bin.3-c00054_NODE_20...region001	F6HG_2_bin.3	bacteria-f3a3443d-1175-4fab-a5fd-3a1b75a4718f	RiPPs	ranthipeptide	8.4	Fragmented	GCF_05012	864	FALSE	FALSE	c00054_NODE_20...region001	Bacillota
F6HG_2_bin.4-c00048_NODE_66...region001	F6HG_2_bin.4	bacteria-dbdf43b2-c1f1-48e4-ab11-7a7da9c2f332	RiPPs	RRE-containing	16.38	Fragmented	GCF_00001	842	FALSE	FALSE	c00048_NODE_66...region001	Bacteroidota
F6HG_2_bin.4-c00077_NODE_16...region001	F6HG_2_bin.4	bacteria-dbdf43b2-c1f1-48e4-ab11-7a7da9c2f332	Terpene	terpene	9.8	Fragmented	GCF_01384	552	FALSE	FALSE	c00077_NODE_16...region001	Bacteroidota
F6HG_2_bin.5-c00015_NODE_80...region001	F6HG_2_bin.5	bacteria-e957b165-3b82-4618-b01a-d95b28765425	Others	arylpolyene	30.09	Fragmented	GCF_11590	1422	TRUE	FALSE	c00015_NODE_80...region001	Bacteroidota
F6HG_2_bin.7-c00032_NODE_81...region001	F6HG_2_bin.7	bacteria-499bd4a1-9501-4fde-9090-6dbb6e217ab9	RiPPs	RRE-containing	12.87	Fragmented	GCF_05409	810	FALSE	FALSE	c00032_NODE_81...region001	Bacillota
F6HG_2_bin.8-c00093_NODE_30...region001	F6HG_2_bin.8	bacteria-2128391a-7e5e-4511-b881-469abd92c161	RiPPs	RRE-containing	6.34	Fragmented	GCF_00001	469	FALSE	FALSE	c00093_NODE_30...region001	Bacteroidota
F6HG_2_bin.9-c00063_NODE_11...region001	F6HG_2_bin.9	bacteria-cbcbe99f-38cc-4be9-bf70-14214dbf2478	Others	arylpolyene	12.67	Fragmented	GCF_17174	1369	TRUE	FALSE	c00063_NODE_11...region001	Bacteroidota
F6HG_2_bin.9-c00087_NODE_20...region001	F6HG_2_bin.9	bacteria-cbcbe99f-38cc-4be9-bf70-14214dbf2478	Others	arylpolyene	8.56	Fragmented	GCF_11590	1201	TRUE	FALSE	c00087_NODE_20...region001	Bacteroidota
F6HG_3_bin.10-c00271_NODE_20...region001	F6HG_3_bin.10	bacteria-1c3522d2-1b99-4b71-b246-37cf4c54da51	RiPPs	RRE-containing	2.37	Fragmented	GCF_00001	158	FALSE	FALSE	c00271_NODE_20...region001	Bacteroidota
F6HG_3_bin.11-c00002_NODE_11...region001	F6HG_3_bin.11	bacteria-a1c41488-5bba-44fd-95a1-529c71e09982	RiPPs	cyclic-lactone-autoinducer	14.73	Fragmented	GCF_00001	158	FALSE	FALSE	c00002_NODE_11...region001	WOR-3
F6HG_3_bin.12-c00061_NODE_29...region001	F6HG_3_bin.12	bacteria-d420d292-816e-4dd9-8674-02dded0787af	RiPPs	ranthipeptide	8.57	Fragmented	GCF_05012	645	FALSE	FALSE	c00061_NODE_29...region001	Bacillota
F6HG_3_bin.13-c00003_NODE_15...region001	F6HG_3_bin.13	bacteria-97507c3e-cf36-4d75-8a9e-6e19101c5067	RiPPs	ranthipeptide	21.63	Complete	GCF_05409	907	TRUE	TRUE	c00003_NODE_15...region001	Bacillota
F6HG_3_bin.14-c00006_NODE_82...region001	F6HG_3_bin.14	bacteria-9a57ecdf-7e99-4aa6-8e41-11f2198c2ef0	Others	arylpolyene	37.11	Fragmented	GCF_04722	1648	TRUE	FALSE	c00006_NODE_82...region001	Bacteroidota
F6HG_3_bin.14-c00069_NODE_23...region001	F6HG_3_bin.14	bacteria-9a57ecdf-7e99-4aa6-8e41-11f2198c2ef0	NRPS	NRPS-like	10.1	Fragmented	GCF_07410	730	FALSE	FALSE	c00069_NODE_23...region001	Bacteroidota
F6HG_3_bin.15-c00004_NODE_52...region001	F6HG_3_bin.15	bacteria-83153020-6243-4b87-8952-283e62560ae6	RiPPs	ranthipeptide	21.62	Complete	GCF_05012	953	TRUE	TRUE	c00004_NODE_52...region001	Bacillota
F6HG_3_bin.16-c00002_NODE_16...region001	F6HG_3_bin.16	bacteria-58761dc9-16cf-4cb3-9fa9-014c23c77da0	RiPPs	ranthipeptide	20.17	Complete	GCF_05012	748	FALSE	FALSE	c00002_NODE_16...region001	Bacillota
F6HG_3_bin.17-c00011_NODE_82...region001	F6HG_3_bin.17	bacteria-cf0b5803-37a9-496a-b999-09b81f9d6ef7	RiPPs	RRE-containing	16.58	Fragmented	GCF_00001	735	FALSE	FALSE	c00011_NODE_82...region001	Bacteroidota
F6HG_3_bin.19-c00061_NODE_18...region001	F6HG_3_bin.19	bacteria-416084ee-ab7e-43f9-a1dd-0182d617bd9b	Others	betalactone	11.65	Fragmented	GCF_07410	751	FALSE	FALSE	c00061_NODE_18...region001	Gammaproteobacteria
F6HG_3_bin.2-c00014_NODE_25...region001	F6HG_3_bin.2	bacteria-d78db25f-1ce0-4885-a110-697448acc5f1	Others	arylpolyene	30.09	Fragmented	GCF_11590	1442	TRUE	FALSE	c00014_NODE_25...region001	Bacteroidota
F6HG_3_bin.21-c00153_NODE_10...region001	F6HG_3_bin.21	bacteria-ab48c210-19a8-4f0a-ac0f-84ce17912208	RiPPs	ranthipeptide	3.68	Fragmented	GCF_05012	477	FALSE	FALSE	c00153_NODE_10...region001	Bacillota
F6HG_3_bin.21-c00201_NODE_14...region001	F6HG_3_bin.21	bacteria-ab48c210-19a8-4f0a-ac0f-84ce17912208	RiPPs	ranthipeptide	2.85	Fragmented	GCF_00001	501	FALSE	FALSE	c00201_NODE_14...region001	Bacillota
F6HG_3_bin.23-c00135_NODE_53...region001	F6HG_3_bin.23	bacteria-c33c5b8e-ea4a-408d-aaad-ce8f956fbc88	PKSother	T3PKS	5.66	Fragmented	GCF_00001	669	FALSE	FALSE	c00135_NODE_53...region001	Verrucomicrobiota
F6HG_3_bin.24-c00006_NODE_51...region001	F6HG_3_bin.24	bacteria-b7fcd541-626b-46d4-b447-2850e7d3d875	RiPPs	RiPP-like	9.53	Fragmented	GCF_00001	700	FALSE	FALSE	c00006_NODE_51...region001	Bacillota
F6HG_3_bin.25-c00004_NODE_15...region001	F6HG_3_bin.25	bacteria-c85d3f2c-9c2e-458a-b608-0d74a9287155	RiPPs	RRE-containing	20.27	Complete	GCF_00001	762	FALSE	FALSE	c00004_NODE_15...region001	Bacteroidota
F6HG_3_bin.4-c00044_NODE_15...region001	F6HG_3_bin.4	bacteria-3df36009-c529-45e8-9055-6faa2a16b5df	RiPPs	RRE-containing	12.82	Fragmented	GCF_00001	692	FALSE	FALSE	c00044_NODE_15...region001	Bacteroidota
F6HG_3_bin.6-c00006_NODE_12...region001	F6HG_3_bin.6	bacteria-4c1c1647-85c8-4083-8d54-bbfa1a490b3d	RiPPs	RRE-containing	12.3	Fragmented	GCF_00001	737	FALSE	FALSE	c00006_NODE_12...region001	Bacillota
