id	source	Bacillota	Bacteroidota	Gammaproteobacteria	Alphaproteobacteria	Desulfovibrionales	Verrucomicrobiota	Spirochaetota	Fusobacteriota	Fibrobacterota	WOR-3	Eukaryota	Other Taxa	
F7GI_3	lightblue	0.0514771442	0.0051970240	0.0418120641	0.0000003336	0.1559025465	0.0000051712	0.0408382163	0.0000000000	0.0000010009	0.0000000000	0	0.7047664992	1.0000000000
F7HG_2	lightblue	0.0283453096	0.2134307780	0.0131709808	0.0000971134	0.0212932927	0.0264945587	0.0002351742	0.0000002730	0.0000191088	0.0000008189	0	0.6969125920	1.0000000000
F7HG_3	lightblue	0.0256464907	0.2051357091	0.0100903820	0.0001066242	0.0264740653	0.0274063521	0.0000804180	0.0000006748	0.0000196827	0.0000002249	0	0.7050393762	1.0000000000
F8GI_2	lightblue	0.0176516235	0.0011066562	0.1501443296	0.0000000000	0.0017412423	0.0000042212	0.0000351766	0.0000000000	0.0000014071	0.0000000000	0	0.8293153435	1.0000000000
F8GI_3	lightblue	0.0161794944	0.0004986694	0.0897146115	0.0000036569	0.0016449441	0.0000066489	0.0252851973	0.0000003324	0.0000003324	0.0000000000	0	0.8666661126	1.0000000000
F8HG_2	lightblue	0.0273779231	0.1090141788	0.0642784198	0.0000169821	0.0032018658	0.0056810475	0.0021856633	0.0000010483	0.0000085959	0.0000012579	0	0.7882330175	1.0000000000
F8HG_3	lightblue	0.0181861145	0.0502582166	0.0179265620	0.0000053987	0.0018747302	0.0035056886	0.0003539603	0.0000002769	0.0000052603	0.0000011074	0	0.9078826845	1.0000000000
R1_25	A	0.2328429629	0.0531873340	0.4616720180	0.0287436702	0.0015505669	0.0015164722	0.0027927992	0.0206806485	0.0001326728	0.0000415066	0.0783091854	0.1185301634	1.0000000000
R1_12	A	0.2840795053	0.1761294727	0.0622877957	0.0257799303	0.0649187059	0.0050166674	0.0455257087	0.0016662431	0.0004703749	0.0000757383	0.1082978310	0.2257520267	1.0000000000
R2_8	A	0.1669160855	0.0091733774	0.7163810199	0.0232992579	0.0001180975	0.0004493468	0.0003178945	0.0005747763	0.0000201630	0.0000010474	0.0328868932	0.0498620406	1.0000000000
R1_6	A	0.2113729587	0.1753217144	0.3618652695	0.0168239636	0.0181056667	0.0017453663	0.0024499065	0.0009008103	0.0002279905	0.0000458459	0.0763056916	0.1348348159	1.0000000000
R2_24	A	0.7618413034	0.0086450213	0.0230634881	0.0081937964	0.1397448076	0.0005561386	0.0005542253	0.0001559356	0.0000676040	0.0000140310	0.0232790556	0.0338845930	1.0000000000
R1_43	A	0.1866925854	0.0215362546	0.4850737929	0.1231883116	0.0067646761	0.0018373515	0.0083135608	0.0010187296	0.0001325388	0.0000181916	0.0584132248	0.1070107824	1.0000000000
R2_26	A	0.0962686899	0.0266150370	0.0288324236	0.0155302815	0.7159823203	0.0009553641	0.0008634891	0.0078050213	0.0000574389	0.0000065333	0.0368435172	0.0702398836	1.0000000000
R1_38	A	0.3139432644	0.0222283925	0.1855039824	0.2669206761	0.0010900808	0.0059337416	0.0023652696	0.0009152565	0.0000565608	0.0000411351	0.0648906577	0.1361109826	1.0000000000
R1_28	A	0.1245684693	0.3224457410	0.2001715097	0.0251992677	0.0362516070	0.0125276202	0.0032129807	0.0009024793	0.0003987283	0.0000248085	0.0921610824	0.1821357060	1.0000000000
R1_29	A	0.1040049648	0.0042900382	0.8347999381	0.0158163741	0.0001053913	0.0003222814	0.0001628633	0.0002405365	0.0000040716	0.0000029754	0.0150936683	0.0251568969	1.0000000000
F5GI_2	A	0.0652756261	0.0216562114	0.7493125891	0.0107816141	0.0032893394	0.0009091683	0.0103157146	0.0009258954	0.0000885554	0.0000182030	0.0615371143	0.0758899690	1.0000000000
F5GI_3	A	0.1170438867	0.0427070309	0.5811523470	0.0173535784	0.0059248871	0.0019469834	0.0176379142	0.0015545790	0.0001626275	0.0000283287	0.0940647957	0.1204230413	1.0000000000
F5HG_2	A	0.2437597912	0.1702119938	0.3011673302	0.0212818263	0.0084530297	0.0076849954	0.0038234225	0.0011387453	0.0003260470	0.0000418725	0.0866525801	0.1554583659	1.0000000000
F5HG_3	A	0.2964106277	0.1548188250	0.2491707804	0.0222699865	0.0097596288	0.0089589697	0.0037156412	0.0011360344	0.0003211554	0.0000397678	0.0905039958	0.1628945873	1.0000000000
F6GI_3	A	0.3831851012	0.1191943094	0.1583659079	0.0197292304	0.0119196690	0.0019425704	0.0042862720	0.0104270322	0.0002023511	0.0000368993	0.1078507458	0.1828599112	1.0000000000
F6GI_4	A	0.3384262808	0.1785155877	0.1580734976	0.0200658966	0.0037377531	0.0053814951	0.0035978666	0.0015614019	0.0002901802	0.0000575463	0.1097915600	0.1805009342	1.0000000000
F6HG_2	A	0.2143863114	0.2649730621	0.1510499976	0.0265143881	0.0118273933	0.0040011907	0.0087996535	0.0013088341	0.0004181122	0.0000519960	0.1191076557	0.1975614053	1.0000000000
F6HG_3	A	0.2261277372	0.2474540428	0.1425234302	0.0274622747	0.0124761178	0.0045296736	0.0089533980	0.0013398661	0.0004189416	0.0000438239	0.1217230115	0.2069476825	1.0000000000
F7GI_2	A	0.0471556071	0.0328023932	0.5909705507	0.0295954553	0.0008890276	0.0013843075	0.0026299367	0.0004110824	0.0002600220	0.0000222876	0.1419224788	0.1519568512	1.0000000000
F7GI_3	A	0.2006710731	0.0703045591	0.0867149624	0.0312718268	0.0266359192	0.0025504846	0.0126873144	0.0021808147	0.0003506349	0.0000811154	0.3326538386	0.2338974567	1.0000000000
F7HG_2	A	0.2078917672	0.3236257895	0.0575423202	0.0311338572	0.0140714694	0.0124209476	0.0041158102	0.0011964591	0.0004219491	0.0000443855	0.1345991271	0.2129361178	1.0000000000
F7HG_3	A	0.2189468734	0.3182349682	0.0552758525	0.0307934357	0.0172208044	0.0131354078	0.0040495179	0.0012286534	0.0004362693	0.0000459934	0.1272286042	0.2134036199	1.0000000000
F8GI_2	A	0.0843487573	0.0515565983	0.1157172855	0.0274083899	0.0009578037	0.0021649405	0.0033222106	0.0008349616	0.0002262241	0.0000425691	0.5523803095	0.1610399498	1.0000000000
F8GI_3	A	0.0809670431	0.0536350508	0.0900021452	0.0287305354	0.0011240316	0.0022787488	0.0063787273	0.0009874670	0.0002150754	0.0000456137	0.5691862741	0.1664492875	1.0000000000
F8HG_2	A	0.1796172704	0.2212622321	0.0964341056	0.0415479370	0.0055153379	0.0104265477	0.0053872276	0.0012029183	0.0004037987	0.0000392495	0.2306905869	0.2074727883	1.0000000000
F8HG_3	A	0.1143978344	0.1086183397	0.0622707587	0.0281030842	0.0033214598	0.0049031848	0.0043422163	0.0009894258	0.0002841463	0.0000507259	0.4933487392	0.1793700850	1.0000000000
